#{"t_start": 1753683632.3801727, "env_id": "None"}
r,l,t
4.0,1,1.129289
10.0,1,1.129483
5.0,1,1.129653
2.0,1,1.130245
0.0,1,1.130455
1.0,1,1.130632
1.0,1,1.130796
3.0,1,1.131389
1.0,1,1.13158
-10.0,1,1.131745
4.0,1,1.131916
2.0,1,1.132519
7.0,1,1.132713
5.0,1,1.132882
-10.0,1,1.133044
5.0,1,1.13364
7.0,1,1.133833
0.0,1,1.134
6.0,1,1.134164
1.0,1,1.134759
6.0,1,1.13495
1.0,1,1.135115
-10.0,1,1.135278
3.0,1,1.135879
3.0,1,1.13607
1.0,1,1.136236
5.0,1,1.136421
2.0,1,1.136999
-12.0,1,1.137185
2.0,1,1.137374
2.0,1,1.137544
-10.0,1,1.138113
2.0,1,1.138301
1.0,1,1.138503
2.0,1,1.138672
5.0,1,1.139237
6.0,1,1.139454
-12.0,1,1.139626
6.0,1,1.139788
6.0,1,1.14037
5.0,1,1.140562
-10.0,1,1.140727
5.0,1,1.140888
1.0,1,1.141493
5.0,1,1.14168
1.0,1,1.141841
4.0,1,1.142004
1.0,1,1.142595
5.0,1,1.142786
-10.0,1,1.142951
2.0,1,1.143119
-8.0,1,1.143728
5.0,1,1.14392
5.0,1,1.144084
5.0,1,1.144243
1.0,1,1.144836
6.0,1,1.145031
0.0,1,1.145196
2.0,1,1.145383
-10.0,1,1.145974
2.0,1,1.146162
5.0,1,1.146329
2.0,1,1.146528
-10.0,1,1.147099
5.0,1,1.147287
2.0,1,1.147481
2.0,1,1.147651
1.0,1,1.148221
-10.0,1,1.148433
-8.0,1,1.148606
6.0,1,1.148779
0.0,1,1.149374
-10.0,1,1.149565
3.0,1,1.149729
5.0,1,1.14989
-10.0,1,1.150496
-10.0,1,1.150687
-10.0,1,1.150852
-12.0,1,1.151023
10.0,1,1.15162
4.0,1,1.151814
2.0,1,1.151983
2.0,1,1.152155
10.0,1,1.15275
5.0,1,1.152953
4.0,1,1.15312
1.0,1,1.15328
3.0,1,1.153884
-10.0,1,1.154074
3.0,1,1.15424
4.0,1,1.154433
4.0,1,1.155007
5.0,1,1.155192
2.0,1,1.155381
5.0,1,1.155554
4.0,1,1.15612
4.0,1,1.156306
-10.0,1,1.156497
5.0,1,1.156665
10.0,1,1.157239
5.0,1,1.157448
-10.0,1,1.157619
7.0,1,1.157781
2.0,1,1.158909
5.0,1,1.159174
0.0,1,1.159431
5.0,1,1.159622
-10.0,1,1.16026
5.0,1,1.160488
4.0,1,1.160671
2.0,1,1.160843
5.0,1,1.161511
0.0,1,1.161711
-10.0,1,1.161884
6.0,1,1.16205
4.0,1,1.162793
4.0,1,1.163125
1.0,1,1.163447
2.0,1,1.163745
10.0,1,1.16466
5.0,1,1.16496
1.0,1,1.16525
-10.0,1,1.16556
3.0,1,1.16629
-8.0,1,1.166554
1.0,1,1.16675
2.0,1,1.16693
-10.0,1,1.167583
-10.0,1,1.167788
-10.0,1,1.167967
6.0,1,1.168142
0.0,1,1.168799
5.0,1,1.169
4.0,1,1.169176
-10.0,1,1.169378
3.0,1,1.170008
2.0,1,1.170213
10.0,1,1.170423
5.0,1,1.170605
5.0,1,1.171212
-10.0,1,1.171439
4.0,1,1.171622
4.0,1,1.171791
1.0,1,1.172421
6.0,1,1.172618
5.0,1,1.172789
3.0,1,1.172953
4.0,1,1.173582
1.0,1,1.173777
5.0,1,1.173947
-10.0,1,1.174113
6.0,1,1.174742
6.0,1,1.174935
5.0,1,1.175103
5.0,1,1.175267
10.0,1,1.175908
0.0,1,1.176102
5.0,1,1.176271
1.0,1,1.176479
6.0,1,1.177104
-11.0,1,1.177292
-11.0,1,1.1775
5.0,1,1.177672
6.0,1,1.17827
3.0,1,1.178491
2.0,1,1.17867
2.0,1,1.178836
6.0,1,1.179463
-10.0,1,1.179658
5.0,1,1.17983
3.0,1,1.179995
4.0,1,1.180634
1.0,1,1.180826
10.0,1,1.180994
6.0,1,1.18116
2.0,1,1.181792
10.0,1,1.181985
6.0,1,1.182153
7.0,1,1.182318
5.0,1,1.182958
2.0,1,1.18316
-10.0,1,1.183332
-10.0,1,1.183544
-10.0,1,1.184145
4.0,1,1.184361
-12.0,1,1.184552
7.0,1,1.184719
5.0,1,1.185318
1.0,1,1.185539
-11.0,1,1.185716
0.0,1,1.185887
1.0,1,1.186537
5.0,1,1.186734
-10.0,1,1.186906
5.0,1,1.187097
5.0,1,1.187724
1.0,1,1.187916
4.0,1,1.188083
4.0,1,1.188248
3.0,1,1.188886
2.0,1,1.189079
2.0,1,1.189248
3.0,1,1.189448
0.0,1,1.190063
4.0,1,1.190257
1.0,1,1.190465
-10.0,1,1.190643
1.0,1,1.191248
4.0,1,1.19147
4.0,1,1.191648
3.0,1,1.191814
5.0,1,1.192432
1.0,1,1.192627
-10.0,1,1.192796
4.0,1,1.192964
1.0,1,1.193597
